address_id,address,district,city,country,postal_code,phone
1,47 MySakila Drive,Alberta,Lethbridge,Canada,,
2,28 MySQL Boulevard,QLD,Woodridge,Australia,,
3,23 Workhaven Lane,Alberta,Lethbridge,Canada,,14033335568
4,1411 Lillydale Drive,QLD,Woodridge,Australia,,6172235589
5,1913 Hanoi Way,Nagasaki,Sasebo,Japan,35200,28303384290
6,1121 Loja Avenue,California,San Bernardino,United States,17886,838635286649
7,692 Joliet Street,Attika,Athenai,Greece,83579,448477190408
8,1566 Inegl Manor,Mandalay,Myingyan,Myanmar,53561,705814003527
9,53 Idfu Parkway,Nantou,Nantou,Taiwan,42399,10655648674
10,1795 Santiago de Compostela Way,Texas,Laredo,United States,18743,860452626434
11,900 Santiago de Compostela Parkway,Central Serbia,Kragujevac,Yugoslavia,93896,716571220373
12,478 Joliet Way,Hamilton,Hamilton,New Zealand,77948,657282285970
13,613 Korolev Drive,Masqat,Masqat,Oman,45844,380657522649
14,1531 Sal Drive,Esfahan,Esfahan,Iran,53628,648856936185
15,1542 Tarlac Parkway,Kanagawa,Sagamihara,Japan,1027,635297277345
16,808 Bhopal Manor,Haryana,Yamuna Nagar,India,10672,465887807014
17,270 Amroha Parkway,Osmaniye,Osmaniye,Turkey,29610,695479687538
18,770 Bydgoszcz Avenue,California,Citrus Heights,United States,16266,517338314235
19,419 Iligan Lane,Madhya Pradesh,Bhopal,India,72878,990911107354
20,360 Toulouse Parkway,England,Southend-on-Sea,United Kingdom,54308,949312333307
21,270 Toulon Boulevard,Kalmykia,Elista,Russian Federation,81766,407752414682
22,320 Brest Avenue,Kaduna,Kaduna,Nigeria,43331,747791594069
23,1417 Lancaster Avenue,Northern Cape,Kimberley,South Africa,72192,272572357893
24,1688 Okara Way,Nothwest Border Prov,Mardan,Pakistan,21954,144453869132
25,262 A Corua (La Corua) Parkway,Dhaka,Tangail,Bangladesh,34418,892775750063
26,28 Charlotte Amalie Street,Rabat-Sal-Zammour-Z,Sal,Morocco,37551,161968374323
27,1780 Hino Boulevard,Liepaja,Liepaja,Latvia,7716,902731229323
28,96 Tafuna Way,Crdoba,Crdoba,Argentina,99865,934730187245
29,934 San Felipe de Puerto Plata Street,Sind,Shikarpur,Pakistan,99780,196495945706
30,18 Duisburg Boulevard,,Citt del Vaticano,Holy See (Vatican City State),58327,998009777982
31,217 Botshabelo Place,Southern Mindanao,Davao,Philippines,49521,665356572025
32,1425 Shikarpur Manor,Bihar,Munger (Monghyr),India,65599,678220867005
33,786 Aurora Avenue,Yamaguchi,Shimonoseki,Japan,65750,18461860151
34,1668 Anpolis Street,Taipei,Lungtan,Taiwan,50199,525255540978
35,33 Gorontalo Way,West Bengali,Kamarhati,India,30348,745994947458
36,176 Mandaluyong Place,Uttar Pradesh,Jhansi,India,65213,627705991774
37,127 Purnea (Purnia) Manor,Piemonte,Alessandria,Italy,79388,911872220378
38,61 Tama Street,Okayama,Kurashiki,Japan,94065,708403338270
39,391 Callao Drive,Midi-Pyrnes,Toulouse,France,34021,440512153169
40,334 Munger (Monghyr) Lane,Markazi,Arak,Iran,38145,481183273622
41,1440 Fukuyama Loop,Henan,Nanyang,China,47929,912257250465
42,269 Cam Ranh Parkway,Chisinau,Chisinau,Moldova,34689,489783829737
43,306 Antofagasta Place,Esprito Santo,Vila Velha,Brazil,3989,378318851631
44,671 Graz Street,Oriental,Nador,Morocco,94399,680768868518
45,42 Brindisi Place,Yerevan,Yerevan,Armenia,16744,42384721397
46,1632 Bislig Avenue,Nonthaburi,Pak Kret,Thailand,61117,471675840679
47,1447 Imus Way,Tahiti,Faaa,French Polynesia,48942,539758313890
48,1998 Halifax Drive,Lipetsk,Lipetsk,Russian Federation,76022,177727722820
49,1718 Valencia Street,Antofagasta,Antofagasta,Chile,37359,675292816413
50,46 Pjatigorsk Lane,Moscow (City),Moscow,Russian Federation,23616,262076994845
51,686 Garland Manor,Cear,Juazeiro do Norte,Brazil,52535,69493378813
52,909 Garland Manor,Tatarstan,Niznekamsk,Russian Federation,69367,705800322606
53,725 Isesaki Place,Mekka,Jedda,Saudi Arabia,74428,876295323994
54,115 Hidalgo Parkway,Khartum,Omdurman,Sudan,80168,307703950263
55,1135 Izumisano Parkway,California,Fontana,United States,48150,171822533480
56,939 Probolinggo Loop,Galicia,A Corua (La Corua),Spain,4166,680428310138
57,17 Kabul Boulevard,Chiba,Nagareyama,Japan,38594,697760867968
58,1964 Allappuzha (Alleppey) Street,Yamaguchi,Iwakuni,Japan,48980,920811325222
59,1697 Kowloon and New Kowloon Loop,Moskova,Balaiha,Russian Federation,57807,499352017190
60,1668 Saint Louis Place,Tahiti,Papeete,French Polynesia,39072,347487831378
61,943 Tokat Street,Vaduz,Vaduz,Liechtenstein,45428,889318963672
62,1114 Liepaja Street,Sarawak,Kuching,Malaysia,69226,212869228936
63,1213 Ranchi Parkway,Karnataka,Mysore,India,94352,800024380485
64,81 Hodeida Way,Rajasthan,Jaipur,India,55561,250767749542
65,915 Ponce Place,Basel-Stadt,Basel,Switzerland,83980,1395251317
66,1717 Guadalajara Lane,Missouri,Saint Louis,United States,85505,914090181665
67,1214 Hanoi Way,Nebraska,Lincoln,United States,67055,491001136577
68,1966 Amroha Avenue,Sichuan,Daxian,China,70385,333489324603
69,698 Otsu Street,Cayenne,Cayenne,French Guiana,71110,409983924481
70,1150 Kimchon Manor,Skne ln,Malm,Sweden,96109,663449333709
71,1586 Guaruj Place,Hunan,Xiangtan,China,5135,947233365992
72,57 Arlington Manor,Madhya Pradesh,Shivapuri,India,48960,990214419142
73,1031 Daugavpils Parkway,Bchar,Bchar,Algeria,59025,107137400143
74,1124 Buenaventura Drive,Mekka,al-Hawiya,Saudi Arabia,6856,407733804223
75,492 Cam Ranh Street,Eastern Visayas,Baybay,Philippines,50805,565018274456
