customer_id,first_name,last_name,email,address_id
1,MARY,SMITH,MARY.SMITH@sakilacustomer.org,5
2,PATRICIA,JOHNSON,PATRICIA.JOHNSON@sakilacustomer.org,6
3,LINDA,WILLIAMS,LINDA.WILLIAMS@sakilacustomer.org,7
4,BARBARA,JONES,BARBARA.JONES@sakilacustomer.org,8
5,ELIZABETH,BROWN,ELIZABETH.BROWN@sakilacustomer.org,9
6,JENNIFER,DAVIS,JENNIFER.DAVIS@sakilacustomer.org,10
7,MARIA,MILLER,MARIA.MILLER@sakilacustomer.org,11
8,SUSAN,WILSON,SUSAN.WILSON@sakilacustomer.org,12
9,MARGARET,MOORE,MARGARET.MOORE@sakilacustomer.org,13
10,DOROTHY,TAYLOR,DOROTHY.TAYLOR@sakilacustomer.org,14
11,LISA,ANDERSON,LISA.ANDERSON@sakilacustomer.org,15
12,NANCY,THOMAS,NANCY.THOMAS@sakilacustomer.org,16
13,KAREN,JACKSON,KAREN.JACKSON@sakilacustomer.org,17
14,BETTY,WHITE,BETTY.WHITE@sakilacustomer.org,18
15,HELEN,HARRIS,HELEN.HARRIS@sakilacustomer.org,19
16,SANDRA,MARTIN,SANDRA.MARTIN@sakilacustomer.org,20
17,DONNA,THOMPSON,DONNA.THOMPSON@sakilacustomer.org,21
18,CAROL,GARCIA,CAROL.GARCIA@sakilacustomer.org,22
19,RUTH,MARTINEZ,RUTH.MARTINEZ@sakilacustomer.org,23
20,SHARON,ROBINSON,SHARON.ROBINSON@sakilacustomer.org,24
21,MICHELLE,CLARK,MICHELLE.CLARK@sakilacustomer.org,25
22,LAURA,RODRIGUEZ,LAURA.RODRIGUEZ@sakilacustomer.org,26
23,SARAH,LEWIS,SARAH.LEWIS@sakilacustomer.org,27
24,KIMBERLY,LEE,KIMBERLY.LEE@sakilacustomer.org,28
25,DEBORAH,WALKER,DEBORAH.WALKER@sakilacustomer.org,29
26,JESSICA,HALL,JESSICA.HALL@sakilacustomer.org,30
27,SHIRLEY,ALLEN,SHIRLEY.ALLEN@sakilacustomer.org,31
28,CYNTHIA,YOUNG,CYNTHIA.YOUNG@sakilacustomer.org,32
29,ANGELA,HERNANDEZ,ANGELA.HERNANDEZ@sakilacustomer.org,33
30,MELISSA,KING,MELISSA.KING@sakilacustomer.org,34
31,BRENDA,WRIGHT,BRENDA.WRIGHT@sakilacustomer.org,35
32,AMY,LOPEZ,AMY.LOPEZ@sakilacustomer.org,36
33,ANNA,HILL,ANNA.HILL@sakilacustomer.org,37
34,REBECCA,SCOTT,REBECCA.SCOTT@sakilacustomer.org,38
35,VIRGINIA,GREEN,VIRGINIA.GREEN@sakilacustomer.org,39
36,KATHLEEN,ADAMS,KATHLEEN.ADAMS@sakilacustomer.org,40
37,PAMELA,BAKER,PAMELA.BAKER@sakilacustomer.org,41
38,MARTHA,GONZALEZ,MARTHA.GONZALEZ@sakilacustomer.org,42
39,DEBRA,NELSON,DEBRA.NELSON@sakilacustomer.org,43
40,AMANDA,CARTER,AMANDA.CARTER@sakilacustomer.org,44
41,STEPHANIE,MITCHELL,STEPHANIE.MITCHELL@sakilacustomer.org,45
42,CAROLYN,PEREZ,CAROLYN.PEREZ@sakilacustomer.org,46
43,CHRISTINE,ROBERTS,CHRISTINE.ROBERTS@sakilacustomer.org,47
44,MARIE,TURNER,MARIE.TURNER@sakilacustomer.org,48
45,JANET,PHILLIPS,JANET.PHILLIPS@sakilacustomer.org,49
46,CATHERINE,CAMPBELL,CATHERINE.CAMPBELL@sakilacustomer.org,50
47,FRANCES,PARKER,FRANCES.PARKER@sakilacustomer.org,51
48,ANN,EVANS,ANN.EVANS@sakilacustomer.org,52
49,JOYCE,EDWARDS,JOYCE.EDWARDS@sakilacustomer.org,53
50,DIANE,COLLINS,DIANE.COLLINS@sakilacustomer.org,54
51,ALICE,STEWART,ALICE.STEWART@sakilacustomer.org,55
52,JULIE,SANCHEZ,JULIE.SANCHEZ@sakilacustomer.org,56
